,Player,Hall_of_Fame,Awards,All_Star,Championships,All_Nbas
137,Don Otten,FALSE,0,0,0,0
138,Mac Otten,FALSE,0,0,0,0
139,Red Owens,FALSE,0,0,0,0
140,Easy Parham,FALSE,0,0,0,0
141,Jack Parkinson,FALSE,0,0,0,0
142,Charlie Parsley,FALSE,0,0,0,0
143,Stan Patrick,FALSE,0,0,0,0
144,Johnny Payak,FALSE,0,0,0,0
145,Warren Perkins,FALSE,0,0,0,0
146,Ed Peterson,FALSE,0,0,0,0
147,Jack Phelan,FALSE,0,0,0,0
148,John Pritchard,FALSE,0,0,0,0
149,Les Pugh,FALSE,0,0,0,0
150,Don Putman,FALSE,0,0,0,0
151,George Ratkovicz,FALSE,0,0,0,0
152,Don Ray,FALSE,0,0,0,0
153,Chick Reiser,FALSE,0,0,1,0
154,Tex Ritter,FALSE,0,0,0,0
155,Bill Roberts,FALSE,0,0,0,0
156,Red Rocha,FALSE,0,1,1,0
157,Kenny Rollins,FALSE,0,0,0,0
158,Bob Royer,FALSE,0,0,0,0
159,Jerry Rullo,FALSE,0,0,1,0
160,Ed Sadowski,FALSE,0,0,0,1
161,Kenny Sailors,FALSE,0,0,0,1
162,Pep Saul,FALSE,0,0,1,0
163,Herm Schaefer,FALSE,0,0,1,0
164,Marv Schatzman,FALSE,0,0,0,0
165,Fred Schaus,FALSE,0,1,0,1
166,Milt Schoon,FALSE,0,0,0,0
167,Howie Schultz,FALSE,0,0,1,0
168,Dick Schulz,FALSE,0,0,1,0
169,Fred Scolari,FALSE,0,1,0,1
170,Wayne See,FALSE,0,0,0,0
171,Glen Selbo,FALSE,0,0,0,0
172,Rollie Seltz,FALSE,0,0,0,0
173,Jim Seminoff,FALSE,0,0,0,0
174,George Senesky,FALSE,0,0,1,0
175,Paul Seymour,FALSE,0,1,1,1
176,Carl Shaeffer,FALSE,0,0,0,0
177,Howie Shannon,FALSE,1,0,0,0
178,Charley Shipp,FALSE,0,0,0,0
179,Connie Simmons,FALSE,0,0,1,0
180,Belus Smawley,FALSE,0,0,0,0
181,Jack Smiley,FALSE,0,0,0,0
182,Chips Sobek,FALSE,0,0,0,0
183,Odie Spears,FALSE,0,0,0,0
184,Art Spector,FALSE,0,0,0,0
185,Ed Stanczak,FALSE,0,0,0,0
186,Gene Stump,FALSE,0,0,0,0
187,Mike Todorovich,FALSE,0,0,0,0
188,Jack Toomay,FALSE,0,0,0,0
189,Bob Tough,FALSE,0,0,0,0
190,Blackie Towery,FALSE,0,0,0,0
191,Dick Triptow,FALSE,0,0,0,0
192,Gene Vance,FALSE,0,0,0,0
193,Ernie Vandeweghe,FALSE,0,0,0,0
194,Floyd Volker,FALSE,0,0,0,0
195,Clint Wager,FALSE,0,0,0,0
196,Danny Wagner,FALSE,0,0,0,0
197,Brady Walker,FALSE,0,0,0,0
198,Paul Walther,FALSE,0,1,0,0
199,Murray Wier,FALSE,0,0,0,0
200,D.C. Wilcutt,FALSE,0,0,0,0
201,Bob Wood,FALSE,0,0,0,0
202,Max Zaslofsky,FALSE,0,1,0,4
203,Ed Beach,FALSE,0,0,0,0
204,Leon Blevins,FALSE,0,0,0,0
205,Ike Borsavage,FALSE,0,0,0,0
206,Art Burris,FALSE,0,0,0,0
207,Gerry Calabrese,FALSE,0,0,0,0
208,Cal Christensen,FALSE,0,0,0,0
209,Chuck Cooper,TRUE,0,0,0,0
210,Hank DeZonie,FALSE,0,0,0,0
211,Bob Donham,FALSE,0,0,0,0
212,Ray Ellefson,FALSE,0,0,0,0
213,Larry Foust,FALSE,0,8,0,2
214,Ed Gayda,FALSE,0,0,0,0
215,Joe Hutton,FALSE,0,0,1,0
216,Bob Lavoy,FALSE,0,0,0,0
217,Don Lofgran,FALSE,0,0,0,0
218,Norm Mager,FALSE,0,0,0,0
219,Joe McNamee,FALSE,0,0,1,0
220,Chuck Mrazovich,FALSE,0,0,0,0
221,Ken Murray,FALSE,0,0,0,0
222,Tommy O'Keefe,FALSE,0,0,0,0
223,Kevin O'Shea,FALSE,0,0,0,0
224,Don Rehfeldt,FALSE,0,0,0,0
225,Jim Riffey,FALSE,0,0,0,0
226,Alan Sawyer,FALSE,0,0,0,0
227,Herb Scherer,FALSE,0,0,0,0
228,Dick Schnittker,FALSE,0,0,1,0
229,Elmer Behnke,FALSE,0,0,0,0
230,Stan Brown,FALSE,0,0,0,0
231,Ed Dahler,FALSE,0,0,0,0
232,Nate DeLong,FALSE,0,0,0,0
233,Dick Dickey,FALSE,0,0,1,0
234,Jake Fendley,FALSE,0,0,0,0
235,Jerry Fowler,FALSE,0,0,0,0
236,Lew Hitch,FALSE,0,0,1,0
237,Mel Hutchins,FALSE,1,1,0,0
238,Jack Kiley,FALSE,0,0,0,0
239,George King,FALSE,0,0,1,0
240,John McConathy,FALSE,0,0,0,0
241,Dave Minor,FALSE,0,0,0,0
242,Ralph O'Brien,FALSE,0,0,0,0
243,Wally Osterkorn,FALSE,0,0,1,0
244,Mel Payton,FALSE,0,0,0,0
245,John Pilch,FALSE,0,0,0,0
246,Ray Ragelis,FALSE,0,0,0,0
247,Sam Ranzino,FALSE,0,0,0,0
248,John Rennicke,FALSE,0,0,0,0
249,Don Savage,FALSE,0,0,0,0
250,Chuck Share,FALSE,0,0,1,0
251,Zeke Sinicola,FALSE,0,0,0,0
252,Whitey Skoog,FALSE,0,0,1,0
253,Jim Slaughter,FALSE,0,0,0,0
254,Bill Tosheff,FALSE,1,0,0,0
255,Bob Wilson,FALSE,0,0,0,0
256,Jim Baechtold,FALSE,0,0,0,0
257,Jim Brasco,FALSE,0,0,0,0
258,Dick Bunt,FALSE,0,0,0,0
259,Gene Conley,FALSE,0,0,3,0
260,Pete Darcey,FALSE,0,0,0,0
261,Blaine Denning,FALSE,0,0,0,0
262,Danny Finn,FALSE,0,0,0,0
263,Dick Groat,FALSE,0,0,0,0
264,Don Hanrahan,FALSE,0,0,0,0
265,Don Henriksen,FALSE,0,0,0,0
266,Jim Holstein,FALSE,0,0,2,0
267,Bob Lochmueller,FALSE,0,0,0,0
